2017-06-28 17:53:16,584 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @473026ms
2017-06-28 17:53:16,831 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-06-28 17:53:16,893 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@764db2d5{/help,null,AVAILABLE}
2017-06-28 17:53:16,930 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@804b789{HTTP/1.1}{127.0.0.1:63945}
2017-06-28 17:53:16,930 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @473379ms
2017-06-28 18:20:04,399 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@804b789{HTTP/1.1}{127.0.0.1:0}
2017-06-28 18:20:04,471 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@764db2d5{/help,null,UNAVAILABLE}
2017-06-28 22:12:40,728 [Worker-146] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/jboss/spec/javax/faces/jboss-jsf-api_2.2_spec/2.2.12/jboss-jsf-api_2.2_spec-2.2.12-sources.jar
2017-06-28 22:12:41,189 [Worker-146] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/jboss/spec/javax/faces/jboss-jsf-api_2.2_spec/2.2.12/jboss-jsf-api_2.2_spec-2.2.12-sources.jar
2017-06-28 22:50:36,126 [main] WARN  o.e.m.c.u.i.a.EnableNatureAction - Skipping project carRent, no pom.xml file present, no reason to have maven nature enabled
2017-06-28 22:50:36,152 [main] WARN  o.e.m.c.u.i.a.EnableNatureAction - Skipping project carRent persistance, no pom.xml file present, no reason to have maven nature enabled
2017-06-28 22:50:36,153 [main] WARN  o.e.m.c.u.i.a.EnableNatureAction - Skipping project EJB, no pom.xml file present, no reason to have maven nature enabled
2017-06-28 22:50:36,153 [main] WARN  o.e.m.c.u.i.a.EnableNatureAction - Skipping project Web, no pom.xml file present, no reason to have maven nature enabled
